NIT;SUBSECTOR;VENTAS;GASTOFINANCIERO
890200463;BEBIDAS NO ALCOHÓLICAS;400139000000;481000000
890903858;BEBIDAS NO ALCOHÓLICAS;2035991415000;10564056000
890903939;BEBIDAS NO ALCOHÓLICAS;1262944000000;107000000
891000324;BEBIDAS NO ALCOHÓLICAS;353813000000;27000000
800096040;CACAO, CHOCOLATE Y CONFITERÍA;162697968000;5607476000
811036030;CACAO, CHOCOLATE Y CONFITERÍA;712126000000;17793000000
860524750;CACAO, CHOCOLATE Y CONFITERÍA;60419989000;1171894000
890301884;CACAO, CHOCOLATE Y CONFITERÍA;1347686000000;43165000000
890800718;CACAO, CHOCOLATE Y CONFITERÍA;731030372000;7052728000
890805267;CACAO, CHOCOLATE Y CONFITERÍA;193063014000;3733662000
890901446;CACAO, CHOCOLATE Y CONFITERÍA;14840000000;128000000
890903532;CACAO, CHOCOLATE Y CONFITERÍA;683265000000;28938000000
900079775;CACAO, CHOCOLATE Y CONFITERÍA;20722391000;633806000
900429459;CACAO, CHOCOLATE Y CONFITERÍA;13160302000;32695000
860066942;CAJAS DE COMPENSACIÓN;2573502849000;2508161000
890000381;CAJAS DE COMPENSACIÓN;124386879000;737311000
890201578;CAJAS DE COMPENSACIÓN;182915110000;1741008000
890480023;CAJAS DE COMPENSACIÓN;174887361000;523534000
890806490;CAJAS DE COMPENSACIÓN;169863646000;944974000
890900842;CAJAS DE COMPENSACIÓN;316135428000;18660915000
70093613;CALZADO Y MARROQUINERÍA;2992010000;454460000
800020706;CALZADO Y MARROQUINERÍA;383129000000;8933000000
800191700;CALZADO Y MARROQUINERÍA;300241512000;5716783000
800193898;CALZADO Y MARROQUINERÍA;6828115000;87666000
800196632;CALZADO Y MARROQUINERÍA;18604977000;175814000
800220701;CALZADO Y MARROQUINERÍA;18190788000;49080000
800251038;CALZADO Y MARROQUINERÍA;44034922000;164691000
805011316;CALZADO Y MARROQUINERÍA;33997590000;2192860000
830018350;CALZADO Y MARROQUINERÍA;57539709000;348542000
860069040;CALZADO Y MARROQUINERÍA;27258667000;1202863000
860069174;CALZADO Y MARROQUINERÍA;36205893000;16898000
890305571;CALZADO Y MARROQUINERÍA;21506071000;11773449000
890913861;CALZADO Y MARROQUINERÍA;33726700000;556239000
891408382;CALZADO Y MARROQUINERÍA;33811313000;996828000
800081146;CARNES FRÍAS;255315000;17814000
800223739;CARNES FRÍAS;18054329000;235291000
804002981;CARNES FRÍAS;57081447000;886891000
811035741;CARNES FRÍAS;85545000000;12646000000
830046757;CARNES FRÍAS;79005448000;1895201000
830136030;CARNES FRÍAS;600000000;571224000
890201111;CARNES FRÍAS;8957000000;24000000
890304130;CARNES FRÍAS;1506383000000;52742000000
890329874;CARNES FRÍAS;40348492000;847031000
890330035;CARNES FRÍAS;46361680000;137922000
900327140;CARNES FRÍAS;13345000000;311000000
830027386;CEMENTO;83096177000;3967377000
830099238;CEMENTO;143938976000;24864744000
860002523;CEMENTO;1976292658000;10011883000
860003012;CEMENTO;48623577000;1498188000
860009808;CEMENTO;776233899000;6194255000
860350697;CEMENTO;1080032000000;4683000000
890100251;CEMENTO;1898076000000;229034000000
900149460;CEMENTO;70731019000;1068454000
900164755;CEMENTO;577952000;1630000
900180449;CEMENTO;18170139000;160717000
900233101;CEMENTO;94908376000;8822656000
900428195;CEMENTO;27080910000;4535121000
900646912;CEMENTO;2617856000;178908000
800192056;CEREALES;27067992000;226480000
890306231;CEREALES;48233509000;1353947000
890704089;CEREALES;13406978000;1346510000
800003644;COMBUSTIBLES Y LUBRICANTES;60532000000;3116000000
800219028;COMBUSTIBLES Y LUBRICANTES;17125230000;919782000
802025184;COMBUSTIBLES Y LUBRICANTES;15569247000;967289000
805008909;COMBUSTIBLES Y LUBRICANTES;24653917000;103605000
806004930;COMBUSTIBLES Y LUBRICANTES;96199696000;6508570000
811009788;COMBUSTIBLES Y LUBRICANTES;1527205238000;18044346000
811043174;COMBUSTIBLES Y LUBRICANTES;466603000000;2649000000
813000898;COMBUSTIBLES Y LUBRICANTES;165722329000;4453413000
830095213;COMBUSTIBLES Y LUBRICANTES;12274420241000;71893070000
830136799;COMBUSTIBLES Y LUBRICANTES;2640731520000;13676412000
830513729;COMBUSTIBLES Y LUBRICANTES;280252509000;2225416000
860002190;COMBUSTIBLES Y LUBRICANTES;273608200000;325382000
860002554;COMBUSTIBLES Y LUBRICANTES;5918140911000;274749000
860515802;COMBUSTIBLES Y LUBRICANTES;89950298000;2481861000
890500726;COMBUSTIBLES Y LUBRICANTES;62776516000;49000
890941252;COMBUSTIBLES Y LUBRICANTES;158419925000;92772000
900041499;COMBUSTIBLES Y LUBRICANTES;25809478000;122861000
900044844;COMBUSTIBLES Y LUBRICANTES;144352351000;4037735000
900072847;COMBUSTIBLES Y LUBRICANTES;347556146000;1933547000
900115530;COMBUSTIBLES Y LUBRICANTES;119859226000;1796756000
900266776;COMBUSTIBLES Y LUBRICANTES;45037165000;1031644000
900383453;COMBUSTIBLES Y LUBRICANTES;18977154000;3307707000
900396759;COMBUSTIBLES Y LUBRICANTES;149849388000;5767150000
900397834;COMBUSTIBLES Y LUBRICANTES;15250083000;369084000
900459737;COMBUSTIBLES Y LUBRICANTES;398747528000;3167209000
900482123;COMBUSTIBLES Y LUBRICANTES;17227603000;110874000
900663519;COMBUSTIBLES Y LUBRICANTES;112376550000;4042828000
900732744;COMBUSTIBLES Y LUBRICANTES;1413783000;9911000
12111956;COMERCIO DE CAFÉ;35697087000;400049000
800025839;COMERCIO DE CAFÉ;201588783000;3853115000
800026845;COMERCIO DE CAFÉ;45987308000;27687000
800035120;COMERCIO DE CAFÉ;25197395000;168646000
800045797;COMERCIO DE CAFÉ;93299000000;17000000
800083827;COMERCIO DE CAFÉ;8249714000;4862000
800141770;COMERCIO DE CAFÉ;521498600000;3566068000
800210734;COMERCIO DE CAFÉ;24521621000;618312000
811006722;COMERCIO DE CAFÉ;30544140000;1516824000
811017244;COMERCIO DE CAFÉ;53724737000;283840000
811027319;COMERCIO DE CAFÉ;166014514000;435129000
811029486;COMERCIO DE CAFÉ;39585328000;25176000
811030498;COMERCIO DE CAFÉ;144832495000;29764000
811036384;COMERCIO DE CAFÉ;24507203000;206782000
813011921;COMERCIO DE CAFÉ;25968449000;538650000
813012721;COMERCIO DE CAFÉ;98910545000;790856000
830092048;COMERCIO DE CAFÉ;26686404000;934466000
830112317;COMERCIO DE CAFÉ;212055223000;1765568000
836000548;COMERCIO DE CAFÉ;65855481000;1210642000
860000996;COMERCIO DE CAFÉ;750961124000;3026012000
860007538;COMERCIO DE CAFÉ;2133227202000;223506112000
860066633;COMERCIO DE CAFÉ;27932446000;762582000
860075787;COMERCIO DE CAFÉ;33342686000;576024000
860400204;COMERCIO DE CAFÉ;32178732000;1228034000
860525060;COMERCIO DE CAFÉ;667363227000;15579348000
890000334;COMERCIO DE CAFÉ;76392037000;31857000
890270827;COMERCIO DE CAFÉ;18785981000;6761000
890900115;COMERCIO DE CAFÉ;219707938000;915099000
890918965;COMERCIO DE CAFÉ;348886057000;1196085000
891100296;COMERCIO DE CAFÉ;411372940000;460094000
891400088;COMERCIO DE CAFÉ;136469000000;30000000
891900475;COMERCIO DE CAFÉ;63990870000;272515000
900010692;COMERCIO DE CAFÉ;78510349000;1176880000
900145781;COMERCIO DE CAFÉ;9810339000;66000000
900336958;COMERCIO DE CAFÉ;15994966000;63509000
900400979;COMERCIO DE CAFÉ;55379654000;434238000
900411999;COMERCIO DE CAFÉ;287717247000;1747555000
900443718;COMERCIO DE CAFÉ;41738383000;169505000
900829016;COMERCIO DE CAFÉ;10476757000;25000
900836474;COMERCIO DE CAFÉ;2739206000;268236000
800015583;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;129991796000;1128812000
800035776;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;522405729000;1256364000
800042471;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;152703454000;2225607000
800058607;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;201300383000;800000000
800115720;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;65747230000;329422000
800135342;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;82950250000;2044272000
800136505;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;106926468000;2420056000
800137486;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;72038691000;779913000
800147578;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;152216535000;1233718000
800150249;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;72845541000;1315643000
800188299;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;30759652000;1103916000
800214071;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;52685602000;1596878000
800222648;COMERCIO DE ELECTRODOMÉSTICOS, MUEBLES Y COMPUTADORES;44554241000;490042000
